Program,Country
IES - Buenos Aires,Argentina
IES Buenos Aires - Advanced Spanish Immersion,Argentina
IES Buenos Aires - Latin American Societies & Cultures,Argentina
IFSA - Buenos Aires,Argentina
IFSA - Butler - Buenos Aires,Argentina
IFSA-Butler - Buenos Aires,Argentina
SIT - Argentina - Public Health in Urban Environments,Argentina
SIT - Argentina - Social Movements and Human Rights,Argentina
SIT - Argentina Social Movements and Human Rights,Argentina
"SIT/IHP - Cities in the 21st Century: People, Planning, and Politics","Argentina, South Africa, Spain, United States"
Arcadia - Queensland,Australia
Duke in Australia,Australia
Duke in Australia ,Australia
IFSA - Queensland,Australia
IFSA-Butler - Queensland,Australia
IFSA-Butler - Sydney,Australia
James Cook University,Australia
SIT - Australia - Rainforest and Reef Ecology,Australia
"SIT - Australia Rainforest, Reef and Cultural Ecology",Australia
University of Melbourne,Australia
University of New South Wales,Australia
University of Queensland,Australia
University of Sydney,Australia
"SIT - Bolivia - Multiculturalism, Globalization, and Social Change",Bolivia
"SIT/IHP - Climate Change: The Politics of Food, Water, and Energy","Bolivia, Morocco, United States, Vietnam"
Duke in Brazil,Brazil
Duke in Brazil ,Brazil
"SIT/IHP - Health and Community: Globalization, Culture, and Care","Brazil, India, South Africa, United States"
SIT - IHP - Cities in the 21st Century,Brazil/Argentina
School for Field Studies - Turks & Caicos Islands,British West Indies
Duke in Montreal,Canada
Duke in Chile,Chile
Duke in Chile ,Chile
SIT - Chile - Comparative Education and Social Change,Chile
"SIT - Chile - Culture Identity, Social Justice, & Community Development",Chile
"SIT - Chile - Public Health, Traditional Medicine, & Community Empowerment",Chile
SIT - Chile Comparative Education and Social Change,Chile
"SIT/IHP Human Rights: Foundations, Challenges, and Advocacy","Chile, Jordan, Nepal, United States"
"SIT/IHP Human Rights: Movements, Power, and Resistance","Chile, Jordan, Nepal, United States"
Boston University Shanghai Internship Program,China
Duke in China,China
Duke Kunshan University,China
New York University - Shanghai,China
NYU in Shanghai,China
University of Hong Kong,China
University of Michigan Shanghai Jiao Tong University Joint Institute,China
Duke in Costa Rica,Costa Rica
Duke Pratt in Costa Rica,Costa Rica
Duke in Cuba,Cuba
Duke in Cuba ,Cuba
New York University - Prague,Czech Republic
NYU in Prague,Czech Republic
DIS - Copenhagen,Denmark
DIS Copenhagen,Denmark
SIT - Ecuador - Comparative Ecology and Conservation,Ecuador
SOAS University of London,England
University of Manchester,England
Duke in Aix-en-Provence ,France
Duke in France,France
Duke in France/EDUCO,France
Duke in Paris ,France
Georgia Institute of Technology,France
Georgia Institute of Technology Lorraine,France
Syracuse - Strasbourg,France
"Syracuse University in Strasbourg, France",France
Vanderbilt in France - Studies in Language and Culture(s),France
Duke in Berlin,Germany
Duke in Berlin ,Germany
Duke in Berlin Engineering,Germany
Duke Middle East in Europe,Germany
CIEE - Ghana Arts & Sciences,Ghana
Duke in Ghana,Ghana
Duke in Greece ,Greece
Budapest Semesters in Math,Hungary
Budapest Semesters in Mathematics,Hungary
Duke Semester in India,India
Arcadia - National University of Ireland Galway,Ireland
"Arcadia - University College, Dublin",Ireland
Arcadia - University of Limerick,Ireland
IFSA - Trinity College Dublin,Ireland
IFSA - University College Dublin,Ireland
IFSA-Butler - National University of Ireland Galway,Ireland
IFSA-Butler - Trinity College Dublin,Ireland
IFSA-Butler - University College Dublin,Ireland
National University Ireland - Galway,Ireland
National University of Ireland Galway,Ireland
Trinity College - Dublin,Ireland
University College - Dublin,Ireland
University of Limerick,Ireland
Hebrew University of Jerusalem,Israel
Tel Aviv University,Israel
Brown in Bologna,Italy
Duke in Bologna,Italy
Duke in Rome,Italy
Duke in Venice,Italy
Duke in Venice ,Italy
Fairfield in Florence - Summer,Italy
ICCS-Rome,Italy
Intercollegiate Center for Classical Studies (ICCS) - Rome,Italy
Loyola University Rome,Italy
New York University - Florence,Italy
NYU in Florence,Italy
SACI - Florence,Italy
SACI - Florence - Summer,Italy
Studio Art Centers International (SACI),Italy
Temple University - Rome,Italy
Temple University in Rome,Italy
The Umbra Institute (Perugia) Arcadia University,Italy
Umbra Institute,Italy
International Christian University,Japan
International Christian University - Summer,Japan
Kyushu University  - Summer,Japan
Nanzan University,Japan
Princeton in Ishikawa - Summer,Japan
Middlebury College Jordan,Jordan
Middlebury in Jordan,Jordan
"SIT - Jordan - Geopolitics, International Relations, and the Future of the Middle East",Jordan
"SIT - Jordan: Geopolitics, International Relations, and the Future of the Middle East",Jordan
Stony Brook University Field School in the Turkana Basin,Kenya
Stony Brook University Field School in the Turkana Basin - Origins Field School,Kenya
SIT - Madagascar - Biodiversity & Natural Resource Management,Madagascar
SIT - Madagascar Biodiversity and Natural Resource Management,Madagascar
Stony Brook University in Madagascar,Madagascar
Duke in Mexico ,Mexico
Duke in the Arab World ,Middle East
Duke Middle East in Europe ,Middle East
Duke in the Arab World,Morocco
SIT - Morocco - Intensive Arabic Lang. & Moroccan Culture - Summer,Morocco
SIT - Morocco - Multiculturalism & Human Rights,Morocco
SIT - Morocco Multiculturalism and Human Rights,Morocco
